PERFIL,QT_TOTAL_HIT_PAYWALL,DIASNAVEGADOS,NOTICIASLIDAS,PES_GENERO,VISITAS_CAPA,USOU_APP,IDADE,ATR_PF_GEO_RENDA_FAM
False,1,2,0,False,4,True,33.25,3
False,0,5,4,True,0,False,46.35,4
False,0,3,4,False,2,False,46.58,3
False,0,1,0,False,0,False,41.92,4
False,5,20,3,False,45,True,71.51,3
False,0,53,147,True,118,True,41.06,3
False,10,57,790,True,205,True,46.52,3
False,0,9,10,False,0,False,54.83,4
False,6,3,5,True,0,False,21.95,3
False,0,1,1,False,0,False,40.83,3
False,12,10,7,False,0,False,44.67,4
False,0,26,6,False,37,False,42.71,3
False,38,30,0,False,44,True,61.27,4
False,0,56,328,False,389,True,53.8,3
False,0,1,0,True,0,False,27.37,4
False,10,25,5,False,80,True,30.51,3
False,1,5,7,False,7,False,31.63,3
False,0,60,705,False,666,True,35.63,3
False,1,24,8,False,36,False,56.35,4
False,0,3,4,True,0,False,21.95,3
False,8,14,12,False,15,False,40.07,4
False,0,29,43,True,37,True,65.49,3
False,1,45,50,False,52,True,33.72,4
False,222,57,373,True,985,True,51.63,3
False,0,4,0,False,6,True,45.15,3
False,0,4,3,False,0,False,38.21,4
False,0,2,2,True,0,False,42.07,2
False,0,41,80,True,0,False,30.79,4
False,4,7,0,False,13,True,39.51,3
False,0,57,463,False,319,True,38.72,3
False,2,37,55,False,0,False,48.32,4
False,0,22,58,False,0,False,46.28,5
False,0,1,1,True,0,False,31.57,3
False,32,14,0,False,53,True,63.23,4
False,0,34,107,True,131,True,46.37,3
False,0,1,1,True,0,False,65.0,4
False,0,4,1,True,0,False,45.27,4
False,0,11,4,True,2,False,51.87,2
False,10,26,46,True,0,False,38.74,3
False,3,1,0,True,4,True,28.77,3
False,1,4,2,True,5,True,32.61,4
False,2,6,9,False,0,False,31.57,3
False,0,6,8,True,0,False,46.15,3
False,0,4,2,False,0,False,39.84,3
False,3,8,7,False,4,False,38.91,4
False,0,7,2,True,0,False,47.64,3
False,14,12,10,True,0,False,61.67,3
False,0,2,1,False,1,False,34.09,6
False,1,4,2,True,2,False,21.95,3
False,0,1,0,False,3,True,40.66,4
False,0,6,2,False,4,False,38.21,3
False,47,50,12,True,135,False,47.84,3
False,0,41,88,False,20,False,42.94,3
False,0,1,0,False,5,True,49.37,3
False,2,15,13,False,0,False,44.71,4
False,0,5,4,False,0,False,29.6,3
False,0,15,19,True,0,False,29.37,3
